employee_id,salary_month,gross_salary,bonus,tax_deduction
EMP000052,2025-02,70502,34160,8824.41
EMP000053,2025-03,68999,46405,13568.27
EMP000054,2025-04,128659,11141,15898.31
EMP000055,2025-04,32759,11523,4588.62
EMP000056,2025-04,101769,43192,11382.14
EMP000057,2025-03,102419,39425,24926.22
EMP000058,2025-03,104969,10255,18497.39
EMP000059,2025-04,45531,7827,3303.67
EMP000060,2025-03,44414,35001,3597.64
EMP000061,2025-01,43470,4017,5250.41
EMP000062,2025-04,121931,42916,10995.79
EMP000063,2025-01,55589,40751,11273.31
EMP000064,2025-03,51861,47008,8104.95
EMP000065,2025-04,141576,22828,32605.82
EMP000066,2025-02,154547,15936,12391.9
EMP000067,2025-01,52745,28833,4707.37
EMP000068,2025-04,153472,23116,13030.8
EMP000069,2025-03,59000,1399,9938.73
EMP000070,2025-01,108997,1203,24648.59
EMP000071,2025-04,73013,24842,14956.5
EMP000072,2025-04,73426,44391,7920.78
EMP000073,2025-01,90586,19485,18000.15
EMP000074,2025-02,43307,7487,8982.4
EMP000075,2025-03,156494,26569,23298.66
EMP000076,2025-04,99246,36253,19463.12
EMP000077,2025-03,118077,47838,19191.5
EMP000078,2025-03,129739,26933,24189.55
EMP000079,2025-02,26256,47480,5788.28
EMP000080,2025-01,92584,11850,19602.32
EMP000081,2025-04,109839,38399,9859.11
EMP000082,2025-02,90564,16297,10607.3
EMP000083,2025-03,170047,17663,24108.67
EMP000084,2025-02,67885,25740,4227.59
EMP000085,2025-03,115188,39915,24000.16
EMP000086,2025-01,171293,48119,39756.17
EMP000087,2025-03,168968,37869,34345.89
EMP000088,2025-04,35553,78,4958.12
EMP000089,2025-04,124474,28829,7351.58
EMP000090,2025-02,41545,2914,3660.21
EMP000091,2025-04,87100,26249,5804.3
EMP000092,2025-02,58985,4448,14015.91
EMP000093,2025-03,162266,19372,16740.54
EMP000094,2025-01,32702,8575,5646.51
EMP000095,2025-02,158029,28382,38595.97
EMP000096,2025-01,165404,20507,36112.21
EMP000097,2025-04,162536,35362,15378.85
EMP000098,2025-01,82716,7258,17272.22
EMP000099,2025-02,30462,44710,4214.8
EMP000100,2025-03,128141,49244,25607.9
EMP000101,2025-04,64224,48019,9033.54
EMP000102,2025-04,94190,20958,20072.03
EMP000103,2025-01,93225,3211,8045.03
EMP000104,2025-01,85762,5664,8492.77
EMP000105,2025-04,128132,49327,8464.01
EMP000106,2025-03,65831,29636,9627.66
EMP000107,2025-01,71489,40450,17354.2
EMP000108,2025-04,179000,8918,31957.68
EMP000109,2025-04,111556,35339,26506.42
EMP000110,2025-01,89845,36438,8794.85
EMP000111,2025-01,114424,11168,18623.32
EMP000112,2025-03,124551,22634,17167.82
EMP000113,2025-02,170795,1798,18435.42
EMP000114,2025-02,123141,11995,8581.55
EMP000115,2025-04,152713,39140,27374.27
EMP000116,2025-01,144149,16919,33712.72
EMP000117,2025-02,107409,37142,8724.49
EMP000118,2025-04,54617,13111,9224.48
EMP000119,2025-04,40773,2210,3831.79
EMP000120,2025-03,79172,32756,10437.66
EMP000121,2025-03,121141,41413,18313.83
EMP000122,2025-01,68889,35903,12139.86
EMP000123,2025-03,121677,21091,15367.99
EMP000124,2025-01,150854,10330,22079.17
EMP000125,2025-01,112024,2379,6337.92
EMP000126,2025-02,70852,3023,14955.99
EMP000127,2025-04,108861,3791,10085.17
EMP000128,2025-02,166169,13016,33413.86
EMP000129,2025-01,78005,435,16595.29
EMP000130,2025-03,59789,12087,8592.09
EMP000131,2025-03,74982,15852,14101.44
EMP000132,2025-03,31002,35618,5148.8
EMP000133,2025-02,60885,19232,11237.83
EMP000134,2025-02,90111,20720,6296.33
EMP000135,2025-04,71129,48652,15985.6
EMP000136,2025-03,85996,25070,12309.84
EMP000137,2025-01,76534,25043,14043.07
EMP000138,2025-02,114126,4906,15316.89
EMP000139,2025-02,76878,42237,11358.06
EMP000140,2025-04,47966,46325,7468.69
EMP000141,2025-01,122369,1614,19950.02
EMP000142,2025-04,76364,35306,17642.2
EMP000143,2025-01,105546,33438,12711.04
EMP000144,2025-04,86709,13463,15054.85
EMP000145,2025-01,33833,41351,3345.59
EMP000146,2025-02,136706,9155,16167.26
EMP000147,2025-02,165438,27601,35123.18
EMP000148,2025-02,176351,760,24566.07
EMP000149,2025-03,150364,48182,18808.83
EMP000150,2025-01,69926,7267,15519.69
EMP000151,2025-04,29299,48176,1755.52
EMP000152,2025-04,43911,6913,5313.37
EMP000153,2025-04,116487,40452,22041.48
EMP000154,2025-04,97889,44601,8265.33
EMP000155,2025-04,92405,15206,13172.67
EMP000156,2025-03,145396,21580,17924.26
EMP000157,2025-04,165686,7178,25784.29
EMP000158,2025-02,65914,31145,6200.41
EMP000159,2025-04,157560,16824,9748.95
EMP000160,2025-03,179090,32574,37998.59
EMP000161,2025-01,56286,49074,12929.87
EMP000162,2025-01,150068,10174,36805.77
EMP000163,2025-01,39962,27744,9886.73
EMP000164,2025-01,139544,9607,13245.3
EMP000165,2025-04,42957,36288,4409.89
EMP000166,2025-01,129700,46441,9022.68
EMP000167,2025-02,178791,25043,41924.01
EMP000168,2025-04,62157,42407,13551.82
EMP000169,2025-04,44766,14481,5369.74
EMP000170,2025-04,136872,3473,30729.25
EMP000171,2025-04,29842,25485,4234.35
EMP000172,2025-02,61824,23316,5631.49
EMP000173,2025-02,175068,5256,27691.08
EMP000174,2025-02,60167,49065,12584.57
EMP000175,2025-04,89639,25735,11881.69
EMP000176,2025-01,66230,23440,8346.73
EMP000177,2025-04,156312,20209,10344.64
EMP000178,2025-01,100460,11983,19594.06
EMP000179,2025-01,174238,42655,39649.23
EMP000180,2025-03,81785,30604,8954.76
EMP000181,2025-03,63127,3997,12645.66
EMP000182,2025-03,62440,27360,5608.22
EMP000183,2025-03,141026,47745,25999.77
EMP000184,2025-04,58540,35212,6059.38
EMP000185,2025-01,114618,11683,18078.37
EMP000186,2025-02,115436,13233,22155.31
EMP000187,2025-04,34607,18169,1873.1
EMP000188,2025-02,39133,34589,7833.29
EMP000189,2025-04,52686,28452,11059.93
EMP000190,2025-03,119712,23873,11181.53
EMP000191,2025-04,80876,1907,6723.85
EMP000192,2025-01,56750,41220,5845.92
EMP000193,2025-04,159098,31105,14430.31
EMP000194,2025-03,76823,1407,11545.27
EMP000195,2025-03,113937,44253,26641.47
EMP000196,2025-01,58802,4504,5285.81
EMP000197,2025-04,84628,12113,14779.85
EMP000198,2025-01,25834,32402,5990.45
EMP000199,2025-04,75495,42962,8096.1
EMP000200,2025-04,53061,27415,5026.58
EMP000201,2025-03,37606,27791,2177.76
EMP000202,2025-02,90487,33704,14605.04
EMP000203,2025-04,78246,19152,8105.64
EMP000204,2025-04,161334,41353,10626.08
EMP000205,2025-04,171595,37561,16684.33
EMP000206,2025-04,78245,15394,5329.36
EMP000207,2025-01,137237,8189,8231.55
EMP000208,2025-01,146020,14354,22676.26
EMP000209,2025-01,82025,19493,11913.82
EMP000210,2025-03,105569,36225,9536.32
EMP000211,2025-03,145753,393,15181.13
EMP000212,2025-03,170315,24747,27586.64
EMP000213,2025-03,31759,9170,5386.09
EMP000214,2025-01,102021,24651,21582.66
EMP000215,2025-01,175220,40074,41439.46
EMP000216,2025-04,117976,4234,24590.14
EMP000217,2025-04,73557,44159,14470.69
EMP000218,2025-02,139436,7182,12725.96
EMP000219,2025-02,65559,39042,3529.35
EMP000220,2025-04,106052,3633,5944.33
EMP000221,2025-02,106142,45309,14173.41
EMP000222,2025-04,137491,7999,13040.46
EMP000223,2025-03,25207,9376,5917.9
EMP000224,2025-01,175473,15836,19281.59
EMP000225,2025-01,159056,11912,17602.51
EMP000226,2025-04,61215,11106,3331.44
EMP000227,2025-03,39127,45273,4767.44
EMP000228,2025-01,127688,20479,13603.92
EMP000229,2025-01,174483,40661,42000.97
EMP000230,2025-01,107392,40036,20454.26
EMP000231,2025-01,123064,9488,12143.64
EMP000232,2025-02,77240,28240,5777.62
EMP000233,2025-04,133563,335,21834.45
EMP000234,2025-02,126960,15563,23240.22
EMP000235,2025-01,174987,42076,34012.3
EMP000236,2025-01,87508,25724,12445.44
EMP000237,2025-03,162481,35146,14100.44
EMP000238,2025-01,158028,38891,16137.93
EMP000239,2025-03,144672,30890,32186.39
EMP000240,2025-01,74208,42553,4153.61
EMP000241,2025-03,87337,49488,12346.66
EMP000242,2025-03,92053,29839,22753.41
EMP000243,2025-02,129309,2233,18457.56
EMP000244,2025-02,84988,44889,7016.22
EMP000245,2025-01,144226,44224,17977.57
EMP000246,2025-04,142180,12227,8430.26
EMP000247,2025-01,134889,42899,25953.52
EMP000248,2025-02,61931,46275,13699.49
EMP000249,2025-04,115089,30271,13966.55
EMP000250,2025-02,150947,40035,21621.84
EMP000251,2025-02,104108,15354,10455.64
EMP000252,2025-01,142000,32631,11767.59
EMP000253,2025-03,104269,41796,24407.85
EMP000254,2025-01,111886,28241,22979.44
EMP000255,2025-02,77060,31623,13498.59
EMP000256,2025-04,166123,31816,37339.75
EMP000257,2025-04,173649,38464,43159.56
EMP000258,2025-04,42464,39617,9332.07
EMP000259,2025-01,144169,11209,9582.14
EMP000260,2025-01,27620,29213,6534.76
EMP000261,2025-04,39115,21794,4749.35
EMP000262,2025-03,49475,23456,4600.44
EMP000263,2025-04,69178,38222,6722.7
EMP000264,2025-01,143116,30396,8759.99
EMP000265,2025-02,46765,11127,6084.32
EMP000266,2025-04,55308,6641,8319.91
EMP000267,2025-01,37903,43021,7311.97
EMP000268,2025-04,116037,30482,17598.12
EMP000269,2025-04,71232,49163,17007.28
EMP000270,2025-03,56597,30758,7444.56
EMP000271,2025-03,74402,12649,4698.16
EMP000272,2025-02,162191,49746,15317.47
EMP000273,2025-03,76013,37745,10066.88
EMP000274,2025-01,149790,31082,15480.29
EMP000275,2025-03,114041,30838,25621.3
EMP000276,2025-02,138006,37603,22139.59
EMP000277,2025-03,148054,24119,14679.94
EMP000278,2025-04,91742,47486,6374.16
EMP000279,2025-03,75942,48510,16776.95
EMP000280,2025-01,171070,49920,40119.16
EMP000281,2025-01,131471,22947,13975.35
EMP000282,2025-04,170035,49448,21133.52
EMP000283,2025-03,80381,21642,9366.13
EMP000284,2025-03,174766,6897,40673.59
EMP000285,2025-01,25444,9780,3261.34
EMP000286,2025-04,102298,45452,15850.49
EMP000287,2025-04,72925,15910,15074.23
EMP000288,2025-04,47923,37475,9651.36
EMP000289,2025-04,160709,26497,32270.17
EMP000290,2025-01,163958,26715,23847.03
EMP000291,2025-04,149165,43725,35128.04
EMP000292,2025-02,95239,5510,6464.15
EMP000293,2025-04,126401,21621,30791.9
EMP000294,2025-04,171915,33682,34531.31
EMP000295,2025-02,80317,34105,16152.28
EMP000296,2025-03,38610,40261,4750.68
EMP000297,2025-02,64056,15340,15718.9
EMP000298,2025-04,165218,25353,35687.37
EMP000299,2025-04,101913,15807,9981.16
EMP000300,2025-03,171981,29238,41793.07
EMP000301,2025-04,77890,11425,19296.38
EMP000302,2025-04,141653,42290,27434.68
EMP000303,2025-01,91792,1123,15304.74
EMP000304,2025-03,131582,45703,9336.22
EMP000305,2025-04,167502,1353,24758.64
EMP000306,2025-03,118811,14003,6686.55
EMP000307,2025-02,48656,47982,2454.17
EMP000308,2025-01,164525,26431,33757.48
EMP000309,2025-03,36003,20762,5246.31
EMP000310,2025-04,72553,8162,6069.77
EMP000311,2025-03,52098,464,11785.97
EMP000312,2025-03,119185,13747,14540.88
EMP000313,2025-04,102946,15757,19898.14
EMP000314,2025-04,38187,38465,6129.18
EMP000315,2025-04,83585,41059,17981.72
EMP000316,2025-01,49173,20885,4429.1
EMP000317,2025-04,29541,33864,3452.37
EMP000318,2025-02,130146,39474,25783.0
EMP000319,2025-01,26814,1465,5679.86
EMP000320,2025-03,77780,31419,15445.29
EMP000321,2025-01,103049,9460,11220.68
EMP000322,2025-04,71317,39175,3789.36
EMP000323,2025-02,171468,46061,25835.2
EMP000324,2025-02,66873,5511,7985.96
EMP000325,2025-01,62682,45969,15575.09
EMP000326,2025-03,143732,46249,15654.24
EMP000327,2025-04,38557,2631,6755.71
EMP000328,2025-03,125114,33113,28617.28
EMP000329,2025-02,140614,15136,19869.09
EMP000330,2025-02,58642,4705,6530.85
EMP000331,2025-03,166075,13337,21050.49
EMP000332,2025-04,-39415,30594,9351.15
EMP000333,2025-02,28618,24028,1674.42
EMP000334,2025-03,134451,1753,20427.99
EMP000335,2025-03,161140,9744,22567.45
EMP000336,2025-02,130003,7888,31329.92
EMP000337,2025-01,166638,20790,16411.5
EMP000338,2025-04,27350,20832,3985.82
EMP000339,2025-01,29643,14332,4633.46
EMP000340,2025-02,109970,32409,12100.66
EMP000341,2025-02,167780,37295,10574.72
EMP000342,2025-01,150025,7967,9051.4
EMP000343,2025-03,140243,31560,27193.39
EMP000344,2025-02,76779,4113,4486.81
EMP000345,2025-04,154791,4423,17511.84
EMP000346,2025-03,91371,7583,20116.72
EMP000347,2025-03,123974,38502,30279.09
EMP000348,2025-01,99486,15225,23379.7
EMP000349,2025-03,70010,15752,7807.67
EMP000350,2025-03,133260,46780,31763.54
EMP000351,2025-04,85248,26452,5614.92
EMP000352,2025-01,178754,7039,38522.92
EMP000353,2025-03,122879,22124,27072.19
EMP000354,2025-01,131791,21352,23497.83
EMP000355,2025-01,165912,24301,40855.64
EMP000356,2025-01,26609,8266,3771.11
EMP000357,2025-04,78644,41996,10152.96
EMP000358,2025-01,53712,44882,12034.92
EMP000359,2025-02,53313,16886,8981.55
EMP000360,2025-02,67489,29455,11022.15
EMP000361,2025-02,55512,11655,3388.56
EMP000362,2025-03,140401,12309,15077.85
EMP000363,2025-03,141125,10546,16536.28
EMP000364,2025-01,78664,36775,12945.03
EMP000365,2025-03,127881,32202,21115.78
EMP000366,2025-03,60041,12028,9394.0
EMP000367,2025-03,176366,3165,26616.67
EMP000368,2025-03,66035,33243,8101.74
EMP000369,2025-04,52994,2295,13071.18
EMP000370,2025-01,29584,38098,7294.81
EMP000371,2025-01,173890,32922,30906.91
EMP000372,2025-04,47501,4049,6383.12
EMP000373,2025-02,157855,31063,15284.48
EMP000374,2025-04,93217,12405,20192.58
EMP000375,2025-04,125702,19191,26791.0
EMP000376,2025-02,176540,49549,31163.2
EMP000377,2025-03,159265,22939,9628.58
EMP000378,2025-04,132577,31637,18118.54
EMP000379,2025-03,140184,3904,7231.97
EMP000380,2025-02,49499,14070,4071.49
EMP000381,2025-02,174070,37775,38035.79
EMP000382,2025-04,174310,40099,42800.17
EMP000383,2025-03,93422,2578,12074.18
EMP000384,2025-03,84544,30692,16154.12
EMP000385,2025-03,93279,2140,9179.08
EMP000386,2025-01,132435,16507,19971.81
EMP000387,2025-03,84143,27784,11601.83
EMP000388,2025-03,92383,30742,17607.76
EMP000389,2025-04,60353,11586,12321.47
EMP000390,2025-03,128424,45420,10257.94
EMP000391,2025-02,103311,39660,17025.43
EMP000392,2025-02,156426,39178,29088.22
EMP000393,2025-03,55305,49215,4805.69
EMP000394,2025-02,87718,33807,17075.83
EMP000395,2025-04,53278,9705,8415.35
EMP000396,2025-03,163328,2627,12493.73
EMP000397,2025-04,149515,39881,11989.33
EMP000398,2025-04,174190,200,10849.47
EMP000399,2025-03,141712,17407,22311.89
EMP000400,2025-03,119739,20919,19541.15
EMP000401,2025-02,134092,42890,30176.05
EMP000402,2025-02,-36532,34917,8897.42
EMP000403,2025-03,154386,4718,35451.02
EMP000404,2025-04,161340,49584,39041.68
EMP000405,2025-01,86266,26205,6328.55
EMP000406,2025-01,60833,43784,15180.94
EMP000407,2025-04,124230,13144,14029.67
EMP000408,2025-04,32566,48204,5973.0
EMP000409,2025-04,160832,34366,16034.78
EMP000410,2025-02,50120,21346,9194.55
EMP000411,2025-01,85500,6419,17157.18
EMP000412,2025-02,121891,48139,24109.0
EMP000413,2025-02,101261,39529,7978.1
EMP000414,2025-03,118395,45912,29473.63
EMP000415,2025-02,176645,40660,42128.8
EMP000416,2025-02,38379,41542,7416.06
EMP000417,2025-01,60712,42320,9437.79
EMP000418,2025-04,54841,11191,7001.84
EMP000419,2025-03,160183,39978,36815.82
EMP000420,2025-03,144333,40316,21864.43
EMP000421,2025-01,93434,12254,10212.48
EMP000422,2025-01,80713,26707,12909.78
EMP000423,2025-04,136789,25663,25428.23
EMP000424,2025-04,-38435,14245,4022.52
EMP000425,2025-04,115000,10349,18153.52
EMP000426,2025-01,104508,32679,6533.65
EMP000427,2025-04,163820,31618,25403.38
EMP000428,2025-04,61949,22226,10568.05
EMP000429,2025-04,91746,37127,22791.25
EMP000430,2025-01,40730,34884,8659.24
EMP000431,2025-04,89186,11587,21992.77
EMP000432,2025-02,51509,28232,10339.54
EMP000433,2025-01,141810,9246,9944.76
EMP000434,2025-03,82827,42508,12592.88
EMP000435,2025-04,151854,42231,30920.64
EMP000436,2025-01,130389,27652,8328.3
EMP000437,2025-03,93737,32278,10250.05
EMP000438,2025-01,171816,28180,29434.94
EMP000439,2025-04,28372,48178,5774.9
EMP000440,2025-04,31809,6268,1858.24
EMP000441,2025-02,149064,47173,13341.33
EMP000442,2025-04,127543,36017,23374.73
EMP000443,2025-04,28663,26379,3369.98
EMP000444,2025-03,46159,10379,10850.28
EMP000445,2025-03,44430,31906,10310.82
EMP000446,2025-04,117134,9277,25878.75
EMP000447,2025-02,114724,33604,21972.58
EMP000448,2025-04,74037,37083,9334.55
EMP000449,2025-02,166661,15902,20283.96
EMP000450,2025-01,128346,15044,16077.26
EMP000451,2025-01,40775,49602,3946.4
EMP000452,2025-02,174830,28363,19807.46
EMP000453,2025-04,43530,17940,8498.98
EMP000454,2025-01,46691,43137,11049.31
EMP000455,2025-02,57111,39017,12472.11
EMP000456,2025-04,88032,42886,5857.13
EMP000457,2025-03,62484,14038,5429.41
EMP000458,2025-03,145421,5390,10171.15
EMP000459,2025-04,29691,46528,5235.54
EMP000460,2025-03,83323,242,15964.94
EMP000461,2025-04,144723,5587,23185.85
EMP000462,2025-02,67299,3020,7912.29
EMP000463,2025-03,118075,9850,15998.62
EMP000464,2025-02,101227,18525,13397.51
EMP000465,2025-03,90113,34068,4892.6
EMP000466,2025-04,112711,18692,24687.26
EMP000467,2025-02,85633,46782,17707.67
EMP000468,2025-03,35765,28443,3489.61
EMP000469,2025-03,58132,6429,10780.34
EMP000470,2025-02,81029,1500,9000.17
EMP000471,2025-02,154820,43179,29669.92
EMP000472,2025-01,161852,46579,32338.21
EMP000473,2025-02,133831,15587,7442.21
EMP000474,2025-01,76474,12094,9161.72
EMP000475,2025-04,77533,20285,4962.21
EMP000476,2025-02,42756,34445,8313.96
EMP000477,2025-04,113537,23054,14531.84
EMP000478,2025-01,161332,30102,34862.83
EMP000479,2025-04,142759,27812,15705.73
EMP000480,2025-01,151944,36611,7617.15
EMP000481,2025-02,79146,40018,16906.15
EMP000482,2025-04,131072,11351,16306.98
EMP000483,2025-03,96623,9669,15169.19
EMP000484,2025-03,85099,8640,21209.86
EMP000485,2025-02,124681,23715,11884.06
EMP000486,2025-03,47582,19370,11310.51
EMP000487,2025-03,74996,23774,18136.08
EMP000488,2025-02,179308,1601,41297.74
EMP000489,2025-02,72762,18726,6359.94
EMP000490,2025-01,124947,7821,17133.0
EMP000491,2025-02,115852,15407,22164.85
EMP000492,2025-03,58699,31129,14313.61
EMP000493,2025-03,77175,28714,13170.3
EMP000494,2025-04,111737,20347,26145.59
EMP000495,2025-01,120602,21542,28319.73
EMP000496,2025-04,51077,13376,4943.59
EMP000497,2025-03,107726,36614,17055.33
EMP000498,2025-04,121228,44929,8898.4
EMP000499,2025-02,157349,18181,11259.79
EMP000500,2025-03,99145,2050,24767.74
EMP000501,2025-01,92199,27408,6796.25
EMP000502,2025-04,143808,26818,12647.14
EMP000503,2025-03,92740,14555,12358.57
EMP000504,2025-01,26002,3260,4030.89
EMP000505,2025-03,70619,31428,12383.08
EMP000506,2025-04,73586,25279,11487.02
EMP000507,2025-03,71534,32193,4175.79
EMP000508,2025-03,120703,49907,13500.78
EMP000509,2025-03,67322,1150,14193.76
EMP000510,2025-03,154739,17377,27216.98
EMP000511,2025-01,171369,14729,29060.22
EMP000512,2025-02,168589,8682,36059.54
EMP000513,2025-02,110048,35891,6788.09
EMP000514,2025-01,110561,12292,7999.21
EMP000515,2025-01,66435,2206,14357.76
EMP000516,2025-02,76521,44070,17569.73
EMP000517,2025-03,166842,41901,38244.66
EMP000518,2025-03,71801,37380,6537.02
EMP000519,2025-01,179708,19113,23785.68
EMP000520,2025-02,39126,16089,9565.93
EMP000521,2025-01,106720,30247,25778.48
EMP000522,2025-04,108919,4156,15514.29
EMP000523,2025-03,135146,40341,20550.51
EMP000524,2025-02,69777,35920,7890.92
EMP000525,2025-02,133213,39079,15736.97
EMP000526,2025-01,31561,35946,3372.08
EMP000527,2025-01,58746,10510,6963.65
EMP000528,2025-01,134337,39267,25791.97
EMP000529,2025-01,118540,40327,8316.87
EMP000530,2025-03,132368,46360,20290.69
EMP000531,2025-02,52599,9237,11434.19
EMP000532,2025-02,25096,26792,4680.61
EMP000533,2025-04,101148,42701,22106.23
EMP000534,2025-04,91838,36286,16188.6
EMP000535,2025-03,139506,20565,28642.35
EMP000536,2025-04,58129,45243,4292.21
EMP000537,2025-04,39124,30547,7342.74
EMP000538,2025-03,111540,29731,15556.29
EMP000539,2025-04,126195,195,10511.77
EMP000540,2025-03,162639,35649,17235.4
EMP000541,2025-01,176725,2281,36573.15
EMP000542,2025-03,144781,11751,23403.75
EMP000543,2025-04,78810,37481,10255.25
EMP000544,2025-04,106841,41130,5481.2
EMP000545,2025-04,52552,5203,4922.39
EMP000546,2025-02,106843,30159,10647.24
EMP000547,2025-03,97042,44925,12115.16
EMP000548,2025-01,83976,49318,12646.44
EMP000549,2025-02,52222,27506,9050.66
EMP000550,2025-02,52530,32132,8621.12
EMP000551,2025-03,48068,40989,11348.64
EMP000552,2025-03,109526,18633,16573.84
EMP000553,2025-01,152299,28999,26774.29
EMP000554,2025-01,132969,44895,27452.79
EMP000555,2025-02,30344,22547,5858.0
EMP000556,2025-01,172399,20406,38783.79
EMP000557,2025-02,157775,27276,17279.48
EMP000558,2025-03,176871,21812,9867.62
EMP000559,2025-01,60442,29788,5630.7
EMP000560,2025-02,93674,32721,20000.75
EMP000561,2025-04,161525,32188,26415.38
EMP000562,2025-03,119246,24893,16258.1
EMP000563,2025-03,168528,22504,12553.51
EMP000564,2025-04,141419,35334,11078.67
EMP000565,2025-02,72008,29986,3843.9
EMP000566,2025-01,69849,710,14343.58
EMP000567,2025-02,137693,46152,23656.22
EMP000568,2025-01,82866,310,13639.45
EMP000569,2025-02,100707,9338,5704.7
EMP000570,2025-01,117928,14302,19636.61
EMP000571,2025-01,119804,47430,29526.26
EMP000572,2025-01,174935,2201,18889.53
EMP000573,2025-03,145379,40038,26090.87
EMP000574,2025-01,144314,13990,10361.41
EMP000575,2025-01,150273,16415,8758.82
EMP000576,2025-04,169398,9191,10387.56
EMP000577,2025-03,116098,14519,21846.94
EMP000578,2025-03,67250,38010,4722.11
EMP000579,2025-04,54693,34046,10708.05
EMP000580,2025-03,51576,36672,2771.43
EMP000581,2025-04,41756,18993,6178.44
EMP000582,2025-01,53359,43403,5632.22
EMP000583,2025-03,90420,18476,5139.4
EMP000584,2025-02,75804,8109,13489.63
EMP000585,2025-04,172527,37408,30652.78
EMP000586,2025-03,113964,15579,6449.37
EMP000587,2025-02,116933,47321,27015.98
EMP000588,2025-03,176538,48315,13522.19
EMP000589,2025-01,32251,37890,4748.67
EMP000590,2025-04,119539,16591,10604.88
EMP000591,2025-02,148490,7326,7678.54
EMP000592,2025-02,96720,14765,17324.24
EMP000593,2025-04,66090,6929,16401.82
EMP000594,2025-02,74057,36498,5597.99
EMP000595,2025-04,98045,14381,14887.24
EMP000596,2025-02,90878,27143,20952.88
EMP000597,2025-01,106776,36816,20361.91
EMP000598,2025-03,101672,23575,17038.69
EMP000599,2025-02,124155,44579,16578.17
EMP000600,2025-03,28769,21522,2283.58
EMP000601,2025-02,78076,8484,10239.58
EMP000602,2025-02,156722,3868,39130.33
EMP000603,2025-04,35002,41057,2249.27
EMP000604,2025-02,134612,60,15628.58
EMP000605,2025-02,146986,46747,23146.12
EMP000606,2025-01,121054,39313,8831.27
EMP000607,2025-04,84170,33620,19713.77
EMP000608,2025-02,56627,9168,7169.3
EMP000609,2025-01,125755,21774,26000.81
EMP000610,2025-01,121036,22871,13613.47
EMP000611,2025-03,174149,31058,33533.87
EMP000612,2025-04,158494,48641,22189.22
EMP000613,2025-02,39644,13226,2590.25
EMP000614,2025-04,89368,3845,12456.97
EMP000615,2025-02,120392,30253,25862.34
EMP000616,2025-02,102730,2225,23304.22
EMP000617,2025-03,95836,27827,6937.82
EMP000618,2025-02,90056,18777,6549.42
EMP000619,2025-03,97740,35115,21250.42
EMP000620,2025-01,66636,9701,7839.87
EMP000621,2025-03,109434,42349,26348.99
EMP000622,2025-02,175240,47523,33756.75
EMP000623,2025-02,102658,32726,8439.57
EMP000624,2025-03,170914,42398,26796.82
EMP000625,2025-04,164226,27147,22787.21
EMP000626,2025-01,146777,36510,33575.28
EMP000627,2025-02,113667,21168,6190.79
EMP000628,2025-03,176612,33655,10893.52
EMP000629,2025-03,47300,6359,8893.27
EMP000630,2025-01,178115,26320,33820.66
EMP000631,2025-03,56320,41402,8385.18
EMP000632,2025-01,162431,30992,24906.1
EMP000633,2025-04,140629,38295,30283.23
EMP000634,2025-03,62305,43936,8674.63
