employee_id,attendance_date,attendance_percent,work_mode
EMP040343,2025-07-11,71.99,WFH
EMP006375,2025-10-07,87.79,WFH
EMP001679,2025-04-10,76.16,Hybrid
EMP033828,2025-08-14,79.2,WFH
EMP016199,2025-03-29,95.65,WFH
EMP009915,2025-05-11,85.94,Hybrid
EMP027891,2025-09-14,99.13,Office
EMP022300,2025-04-28,73.78,Hybrid
EMP043586,2025-09-04,93.6,Office
EMP043690,2025-06-11,93.55,WFH
EMP042558,2025-07-23,95.54,Office
EMP049081,2025-06-29,80.91,Hybrid
EMP044021,2025-05-03,93.68,WFH
EMP002694,2025-10-16,73.84,WFH
EMP029468,2025-05-30,73.87,WFH
EMP029724,2025-12-23,87.31,WFH
EMP046700,2025-08-14,88.76,Office
EMP003628,2025-05-28,79.15,WFH
EMP025940,2025-09-11,96.75,Hybrid
EMP048926,2025-02-06,90.22,Office
EMP042942,2025-10-23,95.07,Hybrid
EMP021835,2025-04-24,97.36,Hybrid
EMP018048,2025-03-06,79.52,Office
EMP026106,2025-05-15,82.99,Hybrid
EMP010231,2025-10-27,98.39,Office
EMP015708,2025-06-11,82.68,WFH
EMP021977,2025-08-26,78.83,WFH
EMP044263,2025-02-20,73.32,Hybrid
EMP023777,2025-02-05,90.27,WFH
EMP030081,2025-11-08,89.02,Hybrid
EMP001307,2025-10-30,84.68,Office
EMP006777,2025-02-03,77.72,Hybrid
EMP027252,2025-07-15,73.96,Office
EMP009475,2025-07-22,84.72,Hybrid
EMP040295,2025-06-08,82.63,Office
EMP021960,2025-11-21,98.69,WFH
EMP005531,2025-01-16,71.17,Hybrid
EMP029321,2025-05-11,72.35,WFH
EMP003749,2025-08-18,85.17,Hybrid
EMP031969,2025-09-18,89.41,Office
EMP032563,2025-04-14,74.41,Hybrid
EMP013546,2025-07-30,87.1,Office
EMP000664,2025-06-23,90.23,WFH
EMP034767,2025-08-30,71.18,WFH
EMP007995,2025-11-06,84.27,WFH
EMP028022,2025-03-08,70.13,Office
EMP030304,2025-06-21,90.8,Hybrid
EMP003420,2025-09-21,72.03,WFH
EMP003305,2025-02-12,81.3,Hybrid
EMP000851,2025-01-08,82.46,WFH
EMP046577,2025-06-06,93.0,Office
EMP039354,2025-09-29,94.24,Hybrid
EMP017676,2025-05-15,77.86,WFH
EMP044418,2025-12-12,96.31,Hybrid
EMP023939,2025-05-02,96.26,WFH
EMP023665,2025-04-09,89.8,Office
EMP001637,2025-11-08,81.99,Office
EMP020081,2025-07-31,79.64,Hybrid
EMP027729,2025-06-13,71.91,Office
EMP049851,2025-09-04,93.86,WFH
EMP026737,2025-04-18,79.52,Office
EMP028674,2025-03-08,97.9,Hybrid
EMP037506,2025-07-07,70.75,Office
EMP047324,2025-11-08,78.31,Office
EMP046646,2025-06-29,95.4,Hybrid
EMP000855,2025-03-06,81.92,Hybrid
EMP024549,2025-03-04,78.57,Hybrid
EMP038624,2025-07-28,97.17,Hybrid
EMP007393,2025-11-19,78.57,Hybrid
EMP046718,2025-06-09,95.84,WFH
EMP021557,2025-08-15,97.4,WFH
EMP029488,2025-05-20,93.92,Office
EMP038560,2025-06-13,97.36,Office
EMP026310,2025-09-24,90.67,Hybrid
EMP021920,2025-03-15,87.14,Hybrid
EMP004932,2025-09-17,71.43,Office
EMP032971,2025-06-10,94.32,Office
EMP044216,2025-09-03,86.83,Office
EMP012689,2025-09-12,74.87,Hybrid
EMP025343,2025-12-19,85.12,WFH
EMP037158,2025-03-02,91.95,Hybrid
EMP002328,2025-03-07,95.67,WFH
EMP040773,2025-06-20,92.31,Office
EMP040546,2025-05-13,90.33,WFH
EMP000198,2025-05-23,80.77,Office
EMP023510,2025-06-02,70.4,Office
EMP034699,2025-05-08,92.09,Office
EMP044543,2025-10-15,99.89,Office
EMP015088,2025-12-03,97.69,Hybrid
EMP022672,2025-01-16,91.09,Office
EMP025185,2025-01-20,85.65,WFH
EMP027849,2025-11-20,73.51,Office
EMP042108,2025-09-23,97.22,Hybrid
EMP020667,2025-09-27,75.19,Office
EMP044358,2025-02-23,82.56,Hybrid
EMP015709,2025-06-17,98.21,Office
EMP026371,2025-08-20,88.87,Office
EMP049812,2025-09-12,97.9,WFH
EMP002812,2025-05-05,99.88,Hybrid
EMP047012,2025-03-12,90.4,Office
EMP006547,2025-07-23,79.99,Hybrid
EMP034755,2025-12-04,74.76,WFH
EMP030207,2025-03-19,71.91,WFH
EMP041107,2025-09-05,70.22,Office
EMP011412,2025-07-14,84.64,Office
EMP002912,2025-04-10,85.33,Hybrid
EMP001735,2025-08-07,76.49,Office
EMP018228,2025-06-09,80.31,WFH
EMP008681,2025-09-30,71.54,Hybrid
EMP019361,2025-10-12,90.82,Office
EMP018344,2025-07-26,86.22,Hybrid
EMP005760,2025-02-06,87.42,WFH
EMP023079,2025-01-10,73.49,Hybrid
EMP035154,2025-05-05,91.3,WFH
EMP011112,2025-11-27,98.55,Office
EMP037505,2025-11-22,76.71,Hybrid
EMP001803,2025-02-15,84.79,Office
EMP008156,2025-06-07,88.25,Hybrid
EMP008121,2025-10-24,98.43,Hybrid
EMP039385,2025-01-22,76.67,Office
EMP047026,2025-07-14,84.3,Hybrid
EMP047255,2025-05-31,82.23,Hybrid
EMP021919,2025-09-27,83.81,Hybrid
EMP020446,2025-03-03,76.38,WFH
EMP030307,2025-01-03,89.65,Hybrid
EMP016647,2025-06-23,73.36,WFH
EMP046844,2025-12-13,75.18,WFH
EMP031066,2025-09-06,75.06,Hybrid
EMP025200,2025-01-06,81.74,WFH
EMP041977,2025-04-12,89.35,WFH
EMP016372,2025-07-26,95.56,WFH
EMP011836,2025-10-29,82.37,Hybrid
EMP045937,2025-05-17,75.4,WFH
EMP002050,2025-12-17,80.24,Office
EMP031617,2025-08-19,79.31,Hybrid
EMP038192,2025-12-27,85.01,Hybrid
EMP047358,2025-09-29,88.41,Office
EMP020933,2025-12-02,80.55,WFH
EMP029856,2025-06-07,94.56,Office
EMP007159,2025-02-12,88.09,Hybrid
EMP043017,2025-12-25,78.67,Office
EMP007401,2025-08-02,76.86,Hybrid
EMP042643,2025-08-01,91.82,Office
EMP015152,2025-07-04,78.94,Hybrid
EMP001155,2025-01-21,96.61,Office
EMP004500,2025-05-13,98.87,Office
EMP006296,2025-06-23,97.29,WFH
EMP012184,2025-01-04,82.54,Hybrid
EMP029300,2025-03-19,98.42,Hybrid
EMP012875,2025-10-07,80.57,Office
EMP028787,2025-03-25,81.72,WFH
EMP032712,2025-10-25,91.62,Hybrid
EMP005540,2025-07-20,83.17,Office
EMP042406,2025-07-19,95.94,Hybrid
EMP048355,2025-08-12,96.42,Hybrid
EMP002558,2025-10-03,72.88,WFH
EMP038361,2025-12-19,86.22,Office
EMP016483,2025-02-06,91.63,Office
EMP002201,2025-04-19,94.9,Office
EMP046941,2025-03-12,78.18,WFH
EMP002962,2025-08-18,98.03,Office
EMP046976,2025-08-19,89.58,Hybrid
EMP021358,2025-05-08,84.87,Hybrid
EMP011970,2025-04-09,77.01,WFH
EMP002870,2025-03-28,83.47,WFH
EMP027803,2025-09-09,99.22,Office
EMP046761,2025-03-15,92.43,WFH
EMP028644,2025-05-22,91.73,WFH
EMP024737,2025-06-21,90.42,WFH
EMP038468,2025-11-26,83.27,Office
EMP023329,2025-04-20,98.03,WFH
EMP025877,2025-07-19,79.65,Hybrid
EMP021296,2025-09-19,81.02,WFH
EMP003988,2025-02-06,94.54,WFH
EMP022400,2025-04-29,99.88,WFH
EMP046215,2025-06-20,90.96,Hybrid
EMP033987,2025-02-27,91.2,Hybrid
EMP020881,2025-07-01,87.75,WFH
EMP004736,2025-04-13,88.73,Office
EMP044065,2025-11-16,81.12,Hybrid
EMP004556,2025-08-21,84.65,Office
EMP041915,2025-01-18,70.41,Office
EMP040819,2025-04-05,86.78,WFH
EMP045526,2025-07-17,78.18,Hybrid
EMP019831,2025-12-08,70.91,Office
EMP017430,2025-08-05,78.07,Hybrid
EMP006894,2025-09-30,78.4,WFH
EMP039144,2025-01-13,79.43,Hybrid
EMP014374,2025-04-26,87.62,Office
EMP047334,2025-11-06,85.76,WFH
EMP003437,2025-07-10,80.21,Office
EMP008755,2025-06-14,94.94,Office
EMP010678,2025-06-10,79.23,Hybrid
EMP005896,2025-06-07,78.05,WFH
EMP019739,2025-08-07,76.0,Office
EMP030747,2025-08-16,93.93,Hybrid
EMP049378,2025-07-14,86.05,WFH
EMP048405,2025-05-17,78.69,Hybrid
EMP032353,2025-12-03,90.15,Hybrid
EMP039791,2025-10-24,80.4,Hybrid
EMP041920,2025-05-31,95.26,WFH
EMP005601,2025-10-17,76.84,Hybrid
EMP029125,2025-09-24,79.24,Hybrid
EMP027644,2025-08-19,83.55,Hybrid
EMP040765,2025-09-21,86.0,Office
EMP009008,2025-04-28,76.8,WFH
EMP045715,2025-10-17,79.37,WFH
EMP037411,2025-08-08,99.45,Hybrid
EMP044081,2025-05-22,76.5,Office
EMP040448,2025-04-29,93.1,Office
EMP008209,2025-01-19,75.04,WFH
EMP018590,2025-05-24,79.52,WFH
EMP043485,2025-02-08,93.75,Hybrid
EMP017454,2025-09-22,85.56,Hybrid
EMP036213,2025-09-09,83.4,WFH
EMP043526,2025-07-29,88.32,Office
EMP047203,2025-08-31,81.27,Hybrid
EMP032636,2025-12-03,93.65,Hybrid
EMP033829,2025-04-09,72.51,WFH
EMP018712,2025-02-28,71.07,Office
EMP003421,2025-01-20,95.31,Office
EMP031217,2025-03-02,94.16,Hybrid
EMP000302,2025-06-06,87.82,WFH
EMP045237,2025-03-23,89.82,Office
EMP049759,2025-12-01,98.96,Office
EMP000700,2025-11-07,99.41,Office
EMP000191,2025-11-20,97.98,WFH
EMP010493,2025-05-23,77.9,WFH
EMP015602,2025-05-03,83.3,WFH
EMP035744,2025-07-10,97.81,WFH
EMP006103,2025-11-28,84.03,WFH
EMP027439,2025-01-24,71.05,Hybrid
EMP019779,2025-04-16,89.27,WFH
EMP026642,2025-07-04,76.82,Office
EMP034585,2025-01-11,95.08,Hybrid
EMP032746,2025-12-21,86.72,Office
EMP023094,2025-12-13,82.78,Office
EMP000570,2025-04-27,85.74,WFH
EMP038211,2025-04-26,75.3,WFH
EMP034664,2025-06-24,86.23,WFH
EMP036632,2025-12-30,73.53,Hybrid
EMP045682,2025-12-20,72.76,Office
EMP007456,2025-08-25,73.35,Hybrid
EMP004015,2025-04-17,84.83,Office
EMP011094,2025-12-25,73.56,Hybrid
EMP018071,2025-05-05,97.97,WFH
EMP035778,2025-05-27,84.9,WFH
EMP016539,2025-12-16,84.46,Hybrid
EMP010730,2025-09-28,75.25,Hybrid
EMP034178,2025-06-14,92.07,Hybrid
EMP045018,2025-05-29,82.01,Hybrid
EMP000785,2025-04-26,85.33,Hybrid
EMP027752,2025-11-07,96.21,WFH
EMP040865,2025-05-19,97.44,Hybrid
EMP040329,2025-01-11,92.89,Hybrid
EMP012534,2025-06-13,90.26,Office
EMP040112,2025-05-30,74.4,Office
EMP039975,2025-09-07,92.47,Hybrid
EMP005802,2025-10-08,75.79,Hybrid
EMP019191,2025-03-30,73.41,Hybrid
EMP049690,2025-10-01,75.03,Office
EMP038755,2025-02-18,99.58,Office
EMP005873,2025-07-12,72.93,WFH
EMP029593,2025-07-15,95.89,Office
EMP010648,2025-10-24,81.84,WFH
EMP008717,2025-06-18,70.93,Office
EMP023356,2025-01-18,74.61,WFH
EMP022010,2025-03-31,77.57,Hybrid
EMP024377,2025-07-25,81.0,Office
EMP045092,2025-11-22,74.86,Office
EMP004781,2025-03-21,86.8,Hybrid
EMP002369,2025-09-05,72.96,Office
EMP012040,2025-11-19,72.45,WFH
EMP006656,2025-10-10,75.23,Office
EMP040942,2025-09-11,70.51,Hybrid
EMP004496,2025-06-24,71.05,Office
EMP010894,2025-12-21,73.21,WFH
EMP025548,2025-02-10,81.04,WFH
EMP022387,2025-03-17,89.15,Hybrid
EMP013404,2025-03-23,77.03,Office
EMP032098,2025-03-29,74.05,Office
EMP013122,2025-04-18,75.21,Hybrid
EMP010967,2025-01-11,81.23,Hybrid
EMP033622,2025-04-12,88.9,Office
EMP028313,2025-04-15,79.52,WFH
EMP049727,2025-11-28,73.27,Hybrid
EMP039484,2025-03-12,81.59,Hybrid
EMP022678,2025-09-02,72.99,Hybrid
EMP031290,2025-07-10,88.71,WFH
EMP031025,2025-08-15,72.93,Office
EMP042676,2025-11-29,83.24,Hybrid
EMP004778,2025-08-19,85.84,Hybrid
EMP029750,2025-09-17,74.61,Office
EMP015339,2025-11-30,89.1,Hybrid
EMP002492,2025-02-18,91.9,WFH
EMP027237,2025-07-06,74.79,WFH
EMP048097,2025-05-31,77.31,Hybrid
EMP014600,2025-02-08,76.18,WFH
EMP019509,2025-02-12,84.35,WFH
EMP003052,2025-06-01,81.92,Office
EMP048748,2025-05-20,98.23,WFH
EMP049157,2025-01-25,78.6,WFH
EMP021607,2025-09-28,93.9,WFH
EMP021700,2025-12-19,97.57,Hybrid
EMP000877,2025-05-10,79.88,WFH
EMP032094,2025-12-09,93.43,WFH
EMP004143,2025-11-13,90.45,Office
EMP015203,2025-11-02,70.56,Office
EMP039735,2025-10-17,80.17,Office
EMP007080,2025-04-28,92.5,Hybrid
EMP007988,2025-12-10,97.48,Office
EMP039568,2025-03-23,91.79,Office
EMP028941,2025-12-01,71.87,WFH
EMP037234,2025-02-25,87.84,Office
EMP017020,2025-02-17,88.1,Office
EMP046186,2025-01-29,90.35,Office
EMP018078,2025-04-29,80.2,WFH
EMP026259,2025-10-03,99.86,Office
EMP021137,2025-06-14,83.73,WFH
EMP008312,2025-02-08,82.77,WFH
EMP017215,2025-09-25,95.93,WFH
EMP014099,2025-07-13,76.15,WFH
EMP028252,2025-03-16,75.1,Office
EMP037946,2025-10-13,78.36,WFH
EMP047031,2025-05-22,83.14,Hybrid
EMP025946,2025-01-22,97.95,Office
EMP025317,2025-10-09,94.05,Office
EMP032218,2025-08-17,92.19,Office
EMP008309,2025-11-01,93.95,WFH
EMP005950,2025-06-16,73.97,Office
EMP001151,2025-03-25,92.42,WFH
EMP023945,2025-04-09,74.87,Hybrid
EMP034700,2025-05-31,93.09,Hybrid
EMP009205,2025-11-22,79.92,Hybrid
EMP014590,2025-05-03,96.36,WFH
EMP001082,2025-04-27,89.0,Office
EMP029306,2025-11-27,74.25,WFH
EMP016897,2025-03-31,70.27,Hybrid
EMP046176,2025-12-14,71.47,Office
EMP007806,2025-02-09,85.45,WFH
EMP005238,2025-08-17,72.09,Hybrid
EMP049712,2025-12-28,76.18,WFH
EMP020057,2025-06-14,73.02,WFH
EMP045544,2025-06-16,85.25,Hybrid
EMP049013,2025-01-09,79.5,Office
EMP045953,2025-10-29,85.96,Hybrid
EMP003344,2025-05-31,87.59,Hybrid
EMP013501,2025-08-02,81.22,Office
EMP029376,2025-05-12,77.38,Hybrid
EMP009663,2025-04-08,98.11,Office
EMP016965,2025-01-28,85.34,WFH
EMP047894,2025-01-26,83.44,Hybrid
EMP008131,2025-12-08,86.14,WFH
EMP019532,2025-11-03,74.41,WFH
EMP001680,2025-12-30,86.96,WFH
EMP003507,2025-09-10,85.15,WFH
EMP013285,2025-12-19,74.12,Hybrid
EMP007254,2025-06-07,77.41,WFH
EMP019129,2025-07-08,85.31,Hybrid
EMP027933,2025-02-05,94.7,WFH
EMP009436,2025-01-13,95.66,Hybrid
EMP044079,2025-09-16,87.27,Office
EMP013297,2025-08-22,100.0,WFH
EMP030446,2025-04-23,99.77,Office
EMP013246,2025-04-12,70.4,WFH
EMP029125,2025-08-18,78.37,Office
EMP029900,2025-11-22,74.35,Office
EMP043920,2025-06-15,82.44,WFH
EMP043226,2025-08-23,84.23,Office
EMP035248,2025-07-24,78.07,WFH
EMP029223,2025-09-03,73.39,Hybrid
EMP026212,2025-12-01,92.11,Office
EMP037221,2025-06-30,94.55,Office
EMP026647,2025-11-03,88.49,WFH
EMP038650,2025-08-17,73.94,WFH
EMP023050,2025-04-05,76.93,Office
EMP014070,2025-09-17,98.17,Office
EMP032581,2025-08-08,78.67,Office
EMP031844,2025-10-12,98.31,Office
EMP002850,2025-07-26,74.65,Office
EMP040159,2025-03-27,78.7,WFH
EMP023290,2025-08-10,86.69,Hybrid
EMP044691,2025-01-17,78.46,WFH
EMP035258,2025-10-15,75.56,Hybrid
EMP009824,2025-12-22,97.71,WFH
EMP041976,2025-10-05,83.19,Hybrid
EMP009541,2025-05-31,98.31,Hybrid
EMP016365,2025-05-07,83.38,WFH
EMP004612,2025-10-31,92.26,Office
EMP027664,2025-04-16,84.34,Office
EMP038647,2025-12-06,89.38,WFH
EMP030978,2025-05-23,89.79,Office
EMP029169,2025-10-09,85.65,Office
EMP049116,2025-09-02,87.01,Office
EMP025472,2025-07-29,97.07,WFH
EMP022688,2025-02-01,99.52,Hybrid
EMP000852,2025-09-22,90.34,Office
EMP018072,2025-09-08,88.85,WFH
EMP006834,2025-08-28,72.21,WFH
EMP011939,2025-05-31,85.86,Office
EMP035196,2025-08-22,85.27,Hybrid
EMP026145,2025-01-24,86.74,Office
EMP004001,2025-05-01,98.97,Hybrid
EMP005053,2025-07-30,81.22,Hybrid
EMP035507,2025-03-11,116.04424471419523,WFH
EMP028075,2025-05-27,81.56,WFH
EMP038156,2025-12-25,79.68,Hybrid
EMP040771,2025-11-15,73.99,WFH
EMP032321,2025-03-21,89.95,Office
EMP038305,2025-04-02,98.87,Hybrid
EMP046248,2025-12-14,88.76,WFH
EMP003914,2025-10-30,76.05,Office
EMP017451,2025-10-08,89.62,Office
EMP024108,2025-07-05,86.12,Hybrid
EMP020765,2025-03-04,91.55,WFH
EMP043405,2025-10-23,73.58,Office
EMP020492,2025-04-11,79.31,Hybrid
EMP038495,2025-01-03,78.13,Hybrid
EMP003374,2025-02-11,96.1,Hybrid
EMP012162,2025-05-15,75.82,Hybrid
EMP031997,2025-05-11,75.47,Office
EMP027123,2025-10-23,91.47,Office
EMP034851,2025-02-04,99.74,Hybrid
EMP027351,2025-05-29,77.7,Hybrid
EMP027473,2025-12-09,89.38,Hybrid
EMP028762,2025-12-28,82.87,WFH
EMP025352,2025-05-19,81.94,WFH
EMP023133,2025-03-11,78.49,Office
EMP049050,2025-12-30,89.58,WFH
EMP015306,2025-06-10,86.98,WFH
EMP009818,2025-05-24,89.69,Office
EMP011262,2025-05-09,89.38,WFH
EMP000418,2025-05-18,76.23,Office
EMP041577,2025-06-02,83.86,Office
EMP020359,2025-12-19,81.37,Office
EMP003268,2025-07-29,84.9,Office
EMP017210,2025-12-07,94.48,Hybrid
EMP024053,2025-03-17,97.07,Hybrid
EMP038514,2025-11-03,71.77,Hybrid
EMP026093,2025-06-05,83.16,WFH
EMP011339,2025-10-25,76.2,Hybrid
EMP000413,2025-04-05,94.2,WFH
EMP007544,2025-07-16,97.83,WFH
EMP040356,2025-10-13,99.7,Hybrid
EMP033497,2025-08-15,75.36,WFH
EMP023549,2025-12-29,75.91,Office
EMP027385,2025-03-17,82.53,Office
EMP044426,2025-10-09,99.72,Office
EMP038757,2025-08-08,75.28,Hybrid
EMP018889,2025-08-07,81.66,Hybrid
EMP035736,2025-08-04,87.33,Hybrid
EMP047296,2025-11-22,90.36,Office
EMP048817,2025-10-11,77.85,Office
EMP017507,2025-04-26,74.85,Office
EMP020464,2025-12-15,99.32,Office
EMP017956,2025-06-15,74.58,Office
EMP037842,2025-05-18,93.3,Hybrid
EMP005105,2025-04-13,99.22,WFH
EMP034912,2025-09-01,91.83,Office
EMP023191,2025-08-04,95.17,Office
EMP007358,2025-02-27,73.77,Hybrid
EMP032480,2025-10-05,95.77,Office
EMP044812,2025-10-05,87.96,WFH
EMP036209,2025-10-17,77.98,Office
EMP020151,2025-01-25,82.19,Office
EMP005645,2025-05-22,78.32,WFH
EMP043287,2025-04-03,92.6,Hybrid
EMP047321,2025-02-13,70.37,WFH
EMP002915,2025-03-02,73.94,Hybrid
EMP021353,2025-06-13,73.28,Office
EMP046353,2025-08-23,70.71,Hybrid
EMP044913,2025-12-26,99.85,WFH
EMP014398,2025-09-18,91.75,Hybrid
EMP041556,2025-05-15,72.17,WFH
EMP046960,2025-11-02,97.53,Hybrid
EMP000729,2025-01-18,70.91,Office
EMP026274,2025-07-21,79.23,Hybrid
EMP000699,2025-10-22,83.56,Office
EMP039955,2025-12-06,74.45,Office
EMP047281,2025-12-09,83.6,Hybrid
EMP013924,2025-03-18,89.51,Hybrid
EMP016780,2025-06-11,73.03,Hybrid
EMP007401,2025-09-06,90.62,Hybrid
EMP024467,2025-12-10,82.7,Hybrid
EMP036940,2025-05-11,76.91,Office
EMP004361,2025-10-31,95.58,Office
EMP035271,2025-10-03,93.84,WFH
EMP017102,2025-03-01,96.57,Hybrid
EMP032308,2025-07-07,74.47,Hybrid
EMP005487,2025-04-03,85.83,Hybrid
EMP008336,2025-07-01,76.31,WFH
EMP021365,2025-07-24,99.7,Office
EMP037260,2025-03-17,99.43,Hybrid
EMP023577,2025-04-17,86.74,Hybrid
EMP031668,2025-03-22,94.85,Hybrid
EMP011131,2025-06-09,90.54,WFH
EMP021973,2025-09-16,89.73,WFH
EMP040420,2025-11-30,76.83,Office
EMP001168,2025-12-10,82.24,WFH
EMP027193,2025-01-06,84.63,WFH
EMP001063,2025-08-20,90.79,Hybrid
